pk,name,league,nickname,address,city,state,country,phone,stadium
147,Tampa Bay Lightning,4,Lightning,,Tampa,FL,,,,,,
148,Toronto Maple Leafs,4,Maple Leafs,,Toronto,ON,CA,,,,,,
149,Carolina Hurricanes,4,Hurricanes,,Raleigh,NC,,,,,,
150,Columbus Blue Jackets,4,Blue Jackets,,Columbus,OH,,,,,,
151,New Jersey Devils,4,Devils,,Newark,NJ,,,,,,
152,New York Islanders,4,Islanders,,Brooklyn,NY,,,,,,
153,New York Rangers,4,Rangers,,New York City,NY,,,,,,
154,Philadelphia Flyers,4,Flyers,,Philadelphia,PA,,,,,,
155,Pittsburgh Penguins,4,Penguins,,Pittsburgh,PA,,,,,,
156,Washington Capitals,4,Capitals,,Washington,DC,,,,,,
157,Chicago Blackhawks,4,Blackhawks,,Chicago,IL,,,,,,
158,Colorado Avalanche,4,Avalanche,,Denver,CO,,,,,,
159,Dallas Stars,4,Stars,,Dallas,TX,,,,,,
160,Minnesota Wild,4,Wild,,St. Paul,MN,,,,,,
161,Nashville Predators,4,Predators,,Nashville,TN,,,,,,Bridgestone Arena
162,St. Louis Blues,4,Blues,,St. Louis,MO,,,,,,
163,Winnipeg Jets,4,Jets,,Winnipeg,MB,CA,,,,,,
164,Anaheim Ducks,4,Ducks,,Anaheim,CA,,,,,,
165,Arizona Coyotes,4,Coyotes,,Glendale,AZ,,,,,,
166,Calgary Flames,4,Flames,,Calgary,AB,CA,,,,,,
167,Edmonton Oilers,4,Oilers,,Edmonton,AB,CA,,,,,,
168,Los Angeles Kings,4,Kings,,Los Angeles,CA,,,,,,
169,San Jose Sharks,4,Sharks,,San Jose,CA,,,,,,
170,Vancouver Canucks,4,Canucks,,Vancouver,BC,CA,,,,,,
171,Vegas Golden Knights,4,Knights,,Las Vegas,NV,,,,,,
172,Indiana University,11,Hoosiers,,,,,,,,
173,University of Maryland,11,Terrapins,,,,,,,,
174,Michigan State University,11,Spartans,,East Lansing,MI,,,,,,
175,Rutgers University,11,Scarlet Knights,,,,,,,,
176,University of Illinois,11,Fighting Illini,,,,,,,,
177,University of Iowa,11,Hawkeyes,,Iowa City,IO,,,,,,
178,University of Minnesota,11,Golden Gophers,,Minneapolis,MN,,,,,,
179,Northwestern University,11,Wildcats,,,,,,,,
180,Purdue University,11,Boilermakers,,,,,,,,
181,University of Michigan,11,Wolverines,,,,,,,,
182,Buffalo Bisons,5,,,,,,,,,
183,Lehigh Valley IronPigs,5,,,,,,,,,
184,Pawtucket Red Sox,5,,,,,,,,,
185,Rochester Red Wings,5,,,,,,,,,
186,Scranton/Wilkes-Barre,5,RailRiders,,,,,,,,
187,Syracuse Chiefs,5,,,,,,,,,
188,Charlotte Knights,5,,,Charlotte,NC,,,,,,
189,Durham Bulls,5,,,Durham,NC,,,,,,
190,Gwinnett Stripers,5,,,,,,,,,
191,Norfolk Tides,5,,,,,,,,,
192,Columbus Clippers,5,,,,,,,,,
193,Indianapolis Indians,5,,,,,,,,,
194,Louisville Bats,5,,,,,,,,,
195,Toledo Mud Hens,5,,,Toledo,OH,,,,,,
196,College of Charleston,9,Cougars,,,,,,,,
197,Drexel University,9,Dragons,,,,,,,,
198,Elon University,9,Phoenix,,,,,,,,
199,Hofstra University,9,Pride,,,,,,,,
200,James Madison University,9,Dukes,,,,,,,,
201,Northeastern University,9,Huskies,,,,,,,,
202,Towson University,9,Tigers,,,,,,,,
203,UNC Wilmington,9,Seahawks,,,,,,,,Trask Coliseum
204,College of William & Mary,9,Tribe,,,,,,,,
205,University of Alabama at Birmingham,10,Blazers,,,,,,,,
206,Florida Atlantic University,10,Owls,,,,,,,,
207,Florida International University,10,Panthers,,,,,,,,
208,Louisiana Tech University,10,Bulldogs & Lady Techsters,,,,,,,,
209,Marshall University,10,Thundering Herd,,,,,,,,
210,Middle Tennessee State University,10,Blue Raiders,,,,,,,,
211,University of North Carolina at Charlotte,10,49ers,,,,,,,,
212,University of North Texas,10,Mean Green,,,,,,,,
213,Old Dominion University,10,Monarchs,,,,,,,,
214,Rice University,10,Owls,,,,,,,,
215,University of Southern Mississippi,10,Golden Eagles & Lady Eagles,,,,,,,,M.M. Roberts Stadium/Reed Green Coliseum
216,University of Texas at El Paso,10,Miners,,,,,,,,Sun Bowl
217,University of Texas at San Antonio,10,Roadrunners,,,,,,,,
218,University of Akron,12,Zips,,Akron,OH,,,,,,
219,Bowling Green State University,12,Falcons,,,,,,,,
220,State University of New York at Buffalo,12,Bulls,,,,,,,,
221,Kent State University,12,Golden Flashes,,,,,,,,
222,Miami University,12,RedHawks,,,,,,,,
223,Ohio University,12,Bobcats,,,,,,,,
224,Ball State University,12,Cardinals,,,,,,,,
225,Central Michigan University,12,Chippewas,,,,,,,,
226,Eastern Michigan University,12,Eagles,,,,,,,,
227,Northern Illinois University,12,Huskies,,,,,,,,
228,University of Toledo,12,Rockets,,,,,,,,
229,Western Michigan University,12,Broncos,,,,,,,,
230,University of Arizona,13,Wildcats,,Tucson,Arizona,,,,,,
231,Arizona State University,13,Sun Devils,,Tempe,Arizona,,,,,,
232,"University of California, Berkeley",13,Golden Bears,,Berkeley,California,,,,,,
233,"University of California, Los Angeles",13,Bruins,,Los Angeles,California,,,,,,Rose Bowl & Pauley Pavilion
234,University of Colorado Boulder,13,Buffaloes,,Boulder,CO,,,,,,
235,University of Oregon,13,Ducks,,Eugene,OR,,,,,,
236,Oregon State University,13,Beavers,,Corvallis,Oregon,,,,,,
237,University of Southern California,13,Trojans,,Los Angeles,California,,,,,,
238,Stanford University,13,Cardinal,,Stanford,California,,,,,,
239,University of Utah,13,Utes,,Salt Lake City,Utah,,,,,,
240,University of Washington,13,Huskies,,Seattle,Washington,,,,,,
241,Washington State University,13,Cougars,,Pullman,Washington,,,,,,
245,Brown University,19,Bears,,,,,,,,
246,Columbia University,19,Lions,,,,,,,,
247,Cornell University,19,Big Red,,,,,,,,
248,Dartmouth College,19,Big Green,,,,,,,,
249,Harvard University,19,Crimson,,,,,,,,
250,University of Pennsylvania,19,Quakers,,,,,,,,
251,Princeton University,19,Tigers,,,,,,,,
252,Yale University,19,Bulldogs,,,,,,,,
253,University of Central Florida,14,Knights,,,,,,,,
254,University of Cincinnati,14,Bearcats,,,,,,,,
255,University of Connecticut,14,Huskies,,,,,,,,
256,East Carolina University,14,Pirates,,,,,,,,
257,University of Houston,14,Cougars,,,,,,,,
258,University of Memphis,14,Tigers,,,,,,,,
259,University of South Florida,14,Bulls,,,,,,,,
260,Southern Methodist University,14,Mustangs,,,,,,,,
261,Temple University,14,Owls,,,,,,,,
262,Tulane University,14,Green Wave,,,,,,,,
263,University of Tulsa,14,Golden Hurricane,,,,,,,,
264,Wichita State University,14,Shockers,,,,,,,,
268,Baylor University,15,Bears,,,,,,,,
269,Iowa State University,15,Cyclones,,,,,,,,
270,University of Kansas,15,Jayhawks,,Lawrence,KS,,,,,,
271,Kansas State University,15,Wildcats,,,,,,,,
272,University of Oklahoma,15,Sooners,,,,,,,,
273,Oklahoma State University,15,Cowboys/Cowgirls,,Stillwater,OK,,,,,,
274,Texas Christian University,15,Horned Frogs,,,,,,,,
275,University of Texas at Austin,15,Longhorns,,,,,,,,
276,Texas Tech University,15,Red Raiders,,,,,,,,
277,West Virginia University,15,Mountaineers,,,,,,,,
285,United States Air Force Academy,17,Falcons,,,,,,,,
286,Boise State University,17,Broncos,,,,,,,,
287,"California State University, Fresno",17,Bulldogs,,,,,,,,
288,Colorado State University,17,Rams,,,,,,,,
289,"University of Nevada, Reno",17,Wolf Pack,,,,,,,,
290,"University of Nevada, Las Vegas",17,Rebels,,,,,,,,
291,University of New Mexico,17,Lobos,,,,,,,,
292,San Diego State University,17,Aztecs,,,,,,,,
293,San Jose State University,17,Spartans,,,,,,,,
294,Utah State University,17,Aggies,,,,,,,,
295,University of Wyoming,17,Cowboys & Cowgirls,,,,,,,,
296,Appalachian State University,18,Mountaineers,,,,,,,,
297,Arkansas State University,18,Red Wolves,,,,,,,,
298,Coastal Carolina University,18,Chanticleers,,,,,,,,
299,Georgia Southern University,18,Eagles,,,,,,,,
300,Georgia State University,18,Panthers,,,,,,,,
301,University of Arkansas at Little Rock,18,Trojans,,,,,,,,
302,University of Louisiana at Lafayette,18,Ragin' Cajuns,,,,,,,,
303,University of Louisiana at Monroe,18,Warhawks,,,,,,,,
304,University of South Alabama,18,Jaguars,,,,,,,,
305,Texas State University,18,Bobcats,,,,,,,,
306,University of Texas at Arlington,18,Mavericks,,,,,,,,
307,Troy University,18,Trojans,,,,,,,,
308,Anderson University,20,Trojans,,Anderson,South Carolina,,,,,,
309,Carson–Newman University,20,Eagles,,Jefferson City,Tennessee,,,,,,
310,Catawba College,20,Indians,,Salisbury,North Carolina,,,,,,
311,Coker College,20,Cobras,,Hartsville,South Carolina,,,,,,
312,Lenoir–Rhyne University,20,Bears,,Hickory,North Carolina,,,,,,
313,Lincoln Memorial University,20,Railsplitters,,Harrogate,Tennessee,,,,,,
314,Mars Hill University,20,Lions,,Mars Hill,North Carolina,,,,,,
315,Newberry College,20,Wolves,,Newberry,South Carolina,,,,,,
316,Queens University of Charlotte,20,Royals,,Charlotte,North Carolina,,,,,,
317,Tusculum College,20,Pioneers,,Tusculum,Tennessee,,,,,,
318,Wingate University,20,Bulldogs,,Wingate,North Carolina,,,,,,
319,"University at Albany, SUNY",21,Great Danes,,,,,,,,
320,Binghamton University,21,Bearcats,,,,,,,,
321,University of Hartford,21,Hawks,,,,,,,,
322,University of Maine,21,Black bears,,,,,,,,
323,"University of Maryland, Baltimore County",21,Retrievers,,,,,,,,
324,University of Massachusetts Lowell,21,River Hawks,,,,,,,,
325,University of New Hampshire,21,Wildcats,,,,,,,,
326,Stony Brook University,21,Seawolves,,,,,,,,
327,University of Vermont,21,Catamounts,,,,,,,,
329,Davidson College,22,Wildcats,,,,,,,,
330,University of Dayton,22,Flyers,,,,,,,,
331,Duquesne University,22,Dukes,,,,,,,,
332,Fordham University,22,Rams,,,,,,,,
333,George Mason University,22,Patriots,,,,,,,,
334,George Washington University,22,Colonials,,,,,,,,
335,La Salle University,22,Explorers,,,,,,,,
336,University of Massachusetts Amherst,22,Minutemen,,,,,,,,
337,University of Rhode Island,22,Rams,,,,,,,,
339,Florida Gulf Coast University,23,eagles,,,,,,,,
340,Jacksonville University,23,Dolphins,,,,,,,,
341,Kennesaw State University,26,Owls,,,,,,,,
342,Lipscomb University,23,Bisons,,,,,,,,
343,New Jersey Institute of Technology,23,Highlanders,,,,,,,,
344,University of North Florida,23,Ospreys,,,,,,,,
345,University of South Carolina Upstate,23,Spartans,,,,,,,,
346,Stetson University,23,Hatters,,,,,,,,
352,Butler University,24,Bulldogs,,,,,,,,Hinkle Fieldhouse
353,Creighton University,24,Bluejays,,,,,,,,
354,DePaul University,24,Blue demons,,,,,,,,
355,Georgetown University,24,Hoyas,,,,,,,,
356,Marquette University,24,Golden Eagles,,,,,,,,
357,Providence College,24,Friars,,,,,,,,
358,St. John's University,24,Red storm,,,,,,,,Carnesecca Arena
359,Seton Hall University,24,Pirates,,,,,,,,
360,Villanova University,24,Wildcats,,,,,,,,Finneran Pavilion
361,Xavier University,24,Musketeers,,,,,,,,
362,Eastern Washington University,25,Eagles,,,,,,,,
363,University of Idaho,25,Vandals,,,,,,,,
364,Idaho State University,25,Bengals,,,,,,,,
365,University of Montana,25,Grizzlies,,Missoula,MT,,,,,,
366,Montana State University,25,Bobcats,,,,,,,,
367,University of North Dakota,42,Fighting Hawks,,,,,,,,
368,Northern Arizona University,25,lumberjacks,,,,,,,,
369,University of Northern Colorado,25,Bears,,,,,,,,
370,Portland State University,25,vikings,,,,,,,,
371,"California State University, Sacramento",25,Hornets,,,,,,,,
372,Southern Utah University,25,thunderbirds,,,,,,,,
373,Weber State University,25,wildcats,,,,,,,,
374,Central Baptist College,114,Mustangs,,,,,,,,
375,Columbia College - MO,114,Cougars,,Columbia,Missouri,,,,,,
376,Freed–Hardeman University,114,Lions,,,,,,,,
377,Hannibal–LaGrange University,114,Trojans,,,,,,,,
378,Harris–Stowe State University,114,Hornets,,,,,,,,
379,Lindenwood University – Belleville,114,Lynx,,,,,,,,
380,Lyon College,114,Scots,,,,,,,,
381,Missouri Baptist University,114,Spartans,,,,,,,,
382,Park University,114,Pirates,,,,,,,,
383,St. Louis College of Pharmacy,114,Eutectics,,,,,,,,
384,Stephens College,114,Stars,,,,,,,,
385,William Woods University,114,Owls,,,,,,,,
386,Williams Baptist College,114,Eagles,,,,,,,,
387,Allen University,115,Yellow Jackets,,,,,,,,
388,Bluefield College,115,Rams,,,,,,,,
389,Brenau University,115,Golden Tigers,,,,,,,,
390,Bryan College,115,Lions,,,,,,,,
391,Columbia College - SC,115,Koalas,,Columbia,South Carolina,,,,,,
392,Milligan College,115,Buffaloes,,,,,,,,
393,Montreat College,115,Cavaliers,,,,,,,,
394,Point University,115,Skyhawks,,,,,,,,
395,Reinhardt University,115,Eagles,,,,,,,,
396,St. Andrews University,115,Knights,,,,,,,,
